IMEI,CO2,温度,湿度,取得時間
357864098056037,521,11.8,42.6,2022-02-01 00:04
357864098056037,521,11.8,42.6,2022-02-01 00:09
357864098056037,521,11.8,42.6,2022-02-01 00:14
357864098056037,519,11.8,42.6,2022-02-01 00:19
357864098056037,520,11.8,42.6,2022-02-01 00:24
357864098056037,520,11.8,42.7,2022-02-01 00:29
357864098056037,519,11.7,42.8,2022-02-01 00:34
357864098056037,520,11.7,42.7,2022-02-01 00:39
357864098056037,521,11.7,42.8,2022-02-01 00:44
357864098056037,523,11.8,42.7,2022-02-01 00:49
357864098056037,525,11.8,42.6,2022-02-01 00:54
357864098056037,525,11.8,42.7,2022-02-01 00:59
357864098056037,524,11.7,42.8,2022-02-01 01:04
357864098056037,520,11.8,42.8,2022-02-01 01:09
357864098056037,520,11.7,42.8,2022-02-01 01:14
357864098056037,521,11.7,42.8,2022-02-01 01:19
357864098056037,520,11.7,42.8,2022-02-01 01:24
357864098056037,520,11.7,42.8,2022-02-01 01:29
357864098056037,521,11.7,42.8,2022-02-01 01:34
357864098056037,518,11.7,42.9,2022-02-01 01:39
357864098056037,519,11.7,42.9,2022-02-01 01:44
357864098056037,519,11.7,42.8,2022-02-01 01:49
357864098056037,518,11.7,42.8,2022-02-01 01:54
357864098056037,521,11.7,42.9,2022-02-01 01:59
357864098056037,511,11.6,43.1,2022-02-01 02:04
357864098056037,514,11.7,43.0,2022-02-01 02:09
357864098056037,516,11.7,42.9,2022-02-01 02:14
357864098056037,514,11.7,42.9,2022-02-01 02:19
357864098056037,516,11.7,43.0,2022-02-01 02:25
357864098056037,517,11.7,42.9,2022-02-01 02:30
357864098056037,517,11.7,43.0,2022-02-01 02:35
357864098056037,516,11.7,42.9,2022-02-01 02:40
357864098056037,517,11.7,42.9,2022-02-01 02:45
357864098056037,516,11.7,43.0,2022-02-01 02:50
357864098056037,518,11.7,43.0,2022-02-01 02:55
357864098056037,516,11.7,43.0,2022-02-01 03:00
357864098056037,515,11.7,42.9,2022-02-01 03:05
357864098056037,516,11.7,42.9,2022-02-01 03:10
357864098056037,515,11.7,43.0,2022-02-01 03:15
357864098056037,516,11.7,42.9,2022-02-01 03:20
357864098056037,514,11.7,42.9,2022-02-01 03:25
357864098056037,513,11.7,42.9,2022-02-01 03:30
357864098056037,515,11.7,43.0,2022-02-01 03:35
357864098056037,514,11.7,43.0,2022-02-01 03:40
357864098056037,514,11.7,43.0,2022-02-01 03:45
357864098056037,516,11.7,43.1,2022-02-01 03:50
357864098056037,517,11.7,43.1,2022-02-01 03:55
357864098056037,516,11.7,42.9,2022-02-01 04:00
357864098056037,518,11.6,42.9,2022-02-01 04:05
357864098056037,515,11.6,42.9,2022-02-01 04:10
357864098056037,515,11.7,42.8,2022-02-01 04:15
357864098056037,514,11.7,42.8,2022-02-01 04:20
357864098056037,515,11.6,42.8,2022-02-01 04:25
357864098056037,514,11.6,42.6,2022-02-01 04:30
357864098056037,513,11.6,42.7,2022-02-01 04:35
357864098056037,515,11.6,42.7,2022-02-01 04:40
357864098056037,516,11.6,42.6,2022-02-01 04:45
357864098056037,515,11.6,42.6,2022-02-01 04:50
357864098056037,515,11.6,42.7,2022-02-01 04:55
357864098056037,515,11.6,42.6,2022-02-01 05:00
357864098056037,514,11.6,42.6,2022-02-01 05:05
357864098056037,515,11.6,42.6,2022-02-01 05:10
